Item,Descrição,Embalagem,TIPO
7826,ALMONDEGA DE CARNE ALVORADA CONG. - 450g,,RESFRIADO
2691,ASSADO DE SALSICHA ALVORADA UN - 100g,10,RESFRIADO
7746,BAGUETE LEVAIN GERGELIM UN - 200g,,RESFRIADO
7735,BAGUETE LEVAIN TRADICIONAL UN - 200g,,RESFRIADO
2583,BISCOITAO TRADICIONAL KG  - 1,2,RESFRIADO
1901,BOLINHA DE MILHO MINI KG  - 1,3,RESFRIADO
8805,BOLINHA DE PIZZA MINI BDJ CONG - 300g,,RESFRIADO
1885,BOLINHA DE PIZZA MINI KG - 1,3,RESFRIADO
5336,BOLINHA DE QUEIJO ALVORADA CONG - 1kg,,RESFRIADO
1903,BOLINHA DE QUEIJO KG - 1,3,RESFRIADO
2135,BOLINHO DE BACALHAU KG - 1,3,RESFRIADO
9753,BOLINHO DE QUEIJO MINI BDJ CONG - 300g,,RESFRIADO
4729,BOLO CONFEITADO AVELA UN - 900g,,RESFRIADO
9955,BOLO CONFEITADO DOCE DE LEITE UN - 900g,,RESFRIADO
7223,BOLO CONFEITADO FLOCOS UN - 900g,,RESFRIADO
2840,BOLO CONFEITADO MARACUJÁ UN - 900g,,RESFRIADO
2519,BOLO CONFEITADO PISTACHE UN  - 900g,,RESFRIADO
2533,BOLO GOURMET CHOCOLATE C/CREME AVELA - 600g,,RESFRIADO
3988,BOLO GOURMET LETINHO C/NOZES ALVORADA UN - 600g,,RESFRIADO
4973,BOLO PREMIUM 4 LEITES UN - 800g,,RESFRIADO
5579,BOLO PREMIUM CHOCOLATE UN - 800g,,RESFRIADO
3522,BOLO PREMIUM COCO UN  - 800g,,RESFRIADO
9828,BOLO PREMIUM NOZES UN - 800g,,RESFRIADO
4380,BROA AEROSA KG - 1,10,RESFRIADO
8807,CALDO DE ERVILHA UN - 500g,,RESFRIADO
8380,CALDO DE FEIJAO UN - 500g,,RESFRIADO
5912,CALDO DE MILHO UN - 500g,,RESFRIADO
8382,CALDO VERDE UN - 500g,,RESFRIADO
4379,CHURROS DOCE DE LEITE KG - 1,10,RESFRIADO
4562,CIGARRETE UN CD - 130g,20,RESFRIADO
2825,COXA E SOBRECOXA C/PURE ALVORADA - 600g,,RESFRIADO
2542,COXINHA DE FRANGO C/REQUEIJAO GRANDE UN  - 100g,15,RESFRIADO
1902,COXINHA DE FRANGO GRANDE UN - 100g,15,RESFRIADO
5337,COXINHA DE FRANGO MINI ALVORADA CONG 1KG - 1kg,,RESFRIADO
1904,COXINHA DE FRANGO MINI KG - 1,3,RESFRIADO
2917,CROISSANT ALVORADA UN - 60g,8,RESFRIADO
2383,CROISSANT DE FRANGO UN - 100g,8,RESFRIADO
2900,CROISSANT PRESUNTO E QUEIJO ALVORADA UN - 120g,8,RESFRIADO
2515,DOGUINHO C.D. ALVORADA KG - 1,15,RESFRIADO
2394,EMPADA DE CARNE SECA UN - 100g,15,RESFRIADO
1886,EMPADA DE FRANGO UN - 100g,15,RESFRIADO
2393,EMPADA DE PALMITO UN  - 100g,15,RESFRIADO
2838,ESCONDIDINHO DE CARNE ALVORADA CONG 600G - 600g,,RESFRIADO
2839,ESCONDIDINHO DE FRANGO ALVORADA CONG. - 600g,,RESFRIADO
4819,ESFIHA ABERTA 4 QUEIJOS UN - 200g,15,RESFRIADO
4818,ESFIHA ABERTA DE CARNE UN - 200g,15,RESFRIADO
2629,ESFIHA ABERTA DE FRANGO C/REQUEIJAO UN - 200g,15,RESFRIADO
2599,ESFIHA FECHADA DE CARNE UN - 100g,10,RESFRIADO
2624,ESFIHA FECHADA DE FRANGO C/REQUEIJAO UN - 100g,10,RESFRIADO
2554,FEIJAO TROPEIRO ALVORADA CONGELADO UN - 450g,,RESFRIADO
8435,FEIJOADA ALVORADA UN  - 700g,,RESFRIADO
7695,FRICASSE DE FRANGO ALVORADA CONG. 600G - 600g,,RESFRIADO
1933,GELO EM CUBOS / TRITURADO ALVORADA 3 KG - 3kg,,RESFRIADO
